YEAR,RegionCode,Area_ha
2024,AB,719604.355673
2023,AB,1950086.59448
2022,AB,119898.638877
2021,AB,56143.805131
2020,AB,2830.611904
2019,AB,711139.028585
2018,AB,47794.571934
2017,AB,45255.410385
2016,AB,504329.335133
2015,AB,413477.375791
2014,AB,27978.410036
2013,AB,19834.737328
2012,AB,335219.367135
2011,AB,735071.009163
2010,AB,72394.320569
2009,AB,61494.320797
2008,AB,18973.331521
2007,AB,100523.74719
2006,AB,156753.684982
2005,AB,55468.085707
2004,AB,229244.854176
2003,AB,69080.617282
2002,AB,511800.204294
2001,AB,170650.275386
2000,AB,16838.13525
1999,AB,107576.71089
1998,AB,646465.136528
1997,AB,21701.722652
1996,AB,1116.466002
1995,AB,335402.079924
1994,AB,26856.02351
1993,AB,23390.510565
1992,AB,1356.824764
1991,AB,3719.595194
1990,AB,26160.711853
1989,AB,3867.058894
1988,AB,10231.206648
1987,AB,32125.286865
1986,AB,1271.08947
1985,AB,14852.448076
1984,AB,69554.846793
1983,AB,1962.61528
1982,AB,678308.744904
1981,AB,1266708.165597
1980,AB,628243.177892
1979,AB,162310.624187
1978,AB,5368.591403
1977,AB,8033.292046
1976,AB,17815.268421
1975,AB,3615.614541
1974,AB,17211.700968
1973,AB,7812.876272
1972,AB,47321.065414
2024,BC,911524.79932
2023,BC,2209978.837971
2022,BC,114453.97964
2021,BC,785897.164377
2020,BC,13761.809879
2019,BC,20353.85822
2018,BC,1045479.466827
2017,BC,1029458.854195
2016,BC,79045.472882
2015,BC,231409.922853
2014,BC,324523.11821
2013,BC,16057.152125
2012,BC,83788.655297
2011,BC,11525.074658
2010,BC,284436.145198
2009,BC,209124.928559
2008,BC,11908.636799
2007,BC,23449.057001
2006,BC,114595.363936
2005,BC,25372.631093
2004,BC,178311.814665
2003,BC,218532.202899
2002,BC,4907.23463
2001,BC,6248.714657
2000,BC,6110.903549
1999,BC,13437.117384
1998,BC,69670.351216
1997,BC,1899.297823
1996,BC,14687.577936
1995,BC,40844.57548
1994,BC,21644.578059
1993,BC,4303.030382
1992,BC,23164.243413
1991,BC,26383.33221
1990,BC,54727.323821
1989,BC,19510.007098
1988,BC,6540.431522
1987,BC,29638.666639
1986,BC,14980.209214
1985,BC,201323.830733
1984,BC,17756.034356
1983,BC,68128.123257
1982,BC,310163.639221
1981,BC,94482.056562
1980,BC,63344.538271
1979,BC,24556.903712
1978,BC,44803.636505
1977,BC,3234.71081
1976,BC,45134.384821
1975,BC,21038.647336
1974,BC,15291.546762
1973,BC,33200.094821
1972,BC,21899.74118
2024,MB,233958.983969
2023,MB,142526.442937
2022,MB,135861.741668
2021,MB,1139281.668036
2020,MB,43146.398874
2019,MB,71850.15939
2018,MB,210894.190262
2017,MB,217522.342579
2016,MB,34591.372498
2015,MB,65531.124651
2014,MB,34985.444365
2013,MB,1034884.680588
2012,MB,172927.462409
2011,MB,108047.198824
2010,MB,138951.505467
2009,MB,2958.308812
2008,MB,137126.490649
2007,MB,292379.636378
